predict_date,class_id,predict_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
201712,739296,2370,290,2,3,3,7,5,MT,1.5,L,5-8W,6.1,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1435,6.00 ,2750,1530,1525
201712,741152,1118,761,2,1,1,2,7,DCT,1.5,T,20-25W,27.8,1,1,1,1,2,1,119,4,250,4667,1839,1660,2050,1575,5,2750,1584,1588
201712,745137,1673,637,3,2,1,2,6,DCT,1.6,L,10-15W,10.8,1,1,1,1,2,1,94,4,159,4534,1823,1483,1711,1336,5,2648,1553,1544
201712,750340,399,864,2,1,1,1,5,AT,1.5,T,10-15W,10.6,1,1,1,1,2,1,115,4,215,4530,1900,1700,1920,1545,5,2700,1601,1602
201712,786351,846,836,3,2,1,3,6,AT,1.6,L,10-15W,8.4,1,1,1,1,2,1,93.8,4,155.5,4570,1775,1445,1650,1275,5,2700,1549,1562
201712,819061,1037,831,2,1,1,3,6,AT,2,L,15-20W,13,1,1,1,1,2,1,121,4,199,4450,1855,1635,1980,1470,5,2640,1614,1615
201712,851857,304,75,2,1,2,2,8,AT,2,T,25-35W,35.3,1,1,1,1,2,2,179,4,400,4812,1903,1680,2275,1795,5,2857,1645,1645
201712,854079,252,537,3,2,1,5,0,CVT,1.8,L,10-15W,10.1,1,1,1,1,2,1,100,4,169,4664,1750,1505,1685,1275,5,2650,1500,1485
201712,871642,309,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,1,1,1,1,2,1,135,4,240,4524,1838,1685,1967,1592,5,2640,1563,1565
201712,883691,435,750,3,2,2,4,7,DCT,1.8,T,20-25W,24,1,1,1,1,2,1,132,4,300,4866,1832,1464,2000,1500,5,2871,1584,1570
201712,905745,355,761,2,1,3,2,6,AT,1.4,T,10-15W,14.8,1,1,1,1,2,1,103,4,200,4278,1781,1648,1840,1430,5,2555,1540,1540
201712,914348,623,750,2,2,3,4,6,AT,1.6,L,10-15W,10.7,1,1,1,1,2,1,81,4,155,3970,1682,1462,1600,1120,5,2470,1463,1456
201712,923841,642,450,3,2,2,2,6,AT,1.5,T,15-20W,13.8,1,1,1,1,2,1,120,4,250.3,4855,1854,1476,1960,1520,5,2737,1585,1587
201712,924154,2502,637,3,2,1,2,6,AT,1.5,L,10-15W,8.8,1,1,1,1,2,1,85,4,142,4587,1825,1490,1675,1300,5,2687,1562,1548
201712,948936,238,512,2,1,1,1,5,MT,1.5,L,5-8W,6.7,2,1,1,1,2,1,83,4,150,4520,1790,1750,1960,1435,6月7日,2700,1450,1480
201712,950264,1268,498,2,1,1,1,7,DCT,1.5,T,15-20W,11,1,1,1,1,2,1,124,4,250,4545,1855,1690,1876,1501,5,2700,1574,1593
201712,953842,2783,831,2,1,1,3,7,DCT,1.6,T,15-20W,16.9,1,1,1,1,2,1,130,4,265,4480,1855,1645,2090,1576,5,2670,1625,1636
201712,961962,402,750,3,2,1,4,6,AT,1.6,L,8-10W,9.6,1,1,1,1,2,1,81,4,155,4487,1706,1470,1650,1160,5,2603,1460,1500
201712,963845,918,836,2,1,3,3,6,AT,1.6,L,10-15W,14.3,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1622,1752,1341,5,2590,1557,1570
201712,973106,68,537,2,1,2,5,9,AT,2,T,25-35W,27,3,1,1,1,2,1,200,4,370,4816,1942,1669,2295,1881,5,2820,1652,1671
201712,978089,1042,12,3,2,1,1,0,CVT,1.5,L,5-8W,8.3,1,1,1,1,2,1,80,4,140,4631,1789,1470,1640,1265,5,2650,1502,1492
